,review_text,date
10," испорченный отпуск 30 августа 2022 другом, отдых прошёл единицу, вообще был, второй день заболели ротовирусом оказалось потом, везде можно, основном море, т е купаться туристам вообще не рекомендую не льзя, исключением переболели недавно, можете. полная антисанитария, не вкусная еду, хамское отношение основное это ротовирус перекрывает природу которая есть. итоге испорченный отпуск 1000% будете жалеть, ехать, не ехать слова совсем, почитайте отзывы грязной стране. приехал отпуска сих пор тошнит не 🤢 ",09 сентября 2022
11," съездить ….. единственное хорошего абхазии это чистое море , бардак который творится пляжах положительный момент перечёркивает , постоянные причаливание катеров скутеров ( боятся сделать замечание ) , хамское отношение какими угрозами перечеркивает положительные эмоции отдыхе прекрасной стране 🙁🤷🏼‍♂️😞 ",08 сентября 2022
12," абхазия ))) абхазия детьми. отдых прошёл замечательно,отдыхали цандрипш. ездили мужем ,с дочкой 3 года сыном 12 лет. думалось знали ,что адаптацией столкнуться набрала целую кучу лекарства. знаете пол дня лишь плоховато ногах. кажется каждом отдыхе далеко дома это происходит. отпуск просто шикарен, местность замечательная ,воздух отменный. советую всем отдохнуть республике абхазия. изумительные места. ",08 сентября 2022
13," ужа , слышите ? ногой сюда . хотите потерять пару дней отпуска побегать туалет вперёд … господи боже мой, не да бог ещё оказаться . причём пару дней не пройдёт 🤣какать будете ещё очень долго . нет нет нет ужас ужас ужас . это не стоит всё ",06 сентября 2022
14," амза амра-выбирайте лучшее! очень нравится абхазия, именно новая гагра . не понимаю отзывы подобие разрушено - люди , читаете заранее едете ??!? это история страны , города , основном такое … поэтому сюда ездят толпы туристов ! совершенно не понимаю отзывы отравились , не вкусно , грязь тд тому подобное , заранее бронируете непроверенные отели , равно жить , главное подешевле — чему удивляетесь ?!? не страна виновата !!! это такое выбрали сами ! москве , питере выбираете - подешевле , непроверенное, главное халявы увидеть город равно своё здоровье!! выбрали амза отель 5 звёзд , гигантский выбор еды — шведский стол завтрак , обед ,ужин — свежее очень вкусное. ужин вино наливают свободном доступе , первая линия моря , свой пляж бассейн . люди ! берегите - выбирайте лучшее !! ",04 сентября 2022
15," рекомендуем тур оператора новый афон — индивидуальный тур . во-первых хочется отметить, оказались очень рады , нам гидов достался именно глеб , второй день подряд (алан — спутник.ру). новый афон -чудесное место. побывали храме симона кананита, помолились, поставили свечи. глеб рассказал истории создания храма жизнедеятельности святого. посетили монастырь. прошли экскурсию пещерам, очень вкусно пообедали кафе гены ( очень советуем суп харчо, шашлык вино сухое красное ). посмотрели новоафонский водопад, гэс. приморском парке посмотрели лебедей, страусов. скульптуры ротонды, мостики ,создают романтическую атмосферу. глеб очень четко рассказал истории этих мест— вообще очень советуем именно гида — вся дорога прошла весело максимум комфортно , очень важно выборе индивидуального тура. получили поездки колоссальное удовольствие— спасибо ! 💙 ",04 сентября 2022
16," абхазию никому не советую, полный шлак, хуже цыган ",31 августа 2022
17," хамское отношение не уважения своим гостям! заказали вчера замечательном заведение 400 грамм шашлыка.нам принесли ровно 6 кусочков мясана вопрос официанту это все?! ответ положительный.пошли весам, весы не не дал. прибежал шашлычник говорит мясо сырым взвешиваю, хозяйка столь замечательного заведения проще.не нравится идите отсюда! ",27 августа 2022
18," не стоит ехать абхазию своих детей жалко приехали отдых абхазию (гагра нов) семьёй отпуск 10 дней унас 3 день заболел муж 2 дня болел, следующим ребенок 2 дня болел ротовирусом сделали укол цирукал ,через день заболел второй 4 летний ребенок обратились больницу ждали 4 часа очереди таких болееющих ротовирусомходим туда 2 дня ставим капельницу стоимость капельницы 1000 р. стоимость приема 500 р. разговаривают не вежливо,хамят катететер поставить первого раза не могут. следующий день заболела супруга 2 дня недомагания диорея, рвота. 10 дней отпуска получился не отпуск хождение больнице не не ждет кому не нужен бардак ждали момента выезда билеты заранее куплены. море стекает прям пляже сток грязной очень пахнующей воды. дети мучаются больнице капельницами весь этаж полный пятый. не стоит ехать абхазию ",19 августа 2022
19," отдыхали гулауте 4 12 августа, первые 5 дней просто шикарно, море чистое, пляжи свободные, природа шикарная!!!а начался ад!!! хозяйка номера проспекту героев, 37 начала нам указывать делать, вообще запрещать. конце концов довела того, собрали вещи решили съехать. итоге наслушались столько оскорблений, матов прочего хамства!!!испортила положительные впечатления. ",14 августа 2022
20," считала, абхазия - это рай! оказалось - ад! жили гулауте проспекте героев, 37.кошмарное место-это мягко сказано! хозяйка грубит, хамит матом посылает, общем, делает все, съехали раньше времени! деньги оставшиеся дни не вернула!!!не советую это место, дабы испортят отпуск!!! ",14 августа 2022
21," отдыхаем приморское район гудаутский юбилее хозяйки снимаем жильё люди туристического места , точнее сероводородного источника пьяные абхазы оскорбили русских туристов , отказались выпить россию ссылаясь пьют достоянную нацию это абхазы . назвывали плохими словами русских туристов , точнее матом уничижали настроение испорчено просто обидно люди работают хозяин сероводородного источника приехали отдыхать платим свои деньги получаем кучу унижений . сероводородый источник ходить не стоит достоянные источники абхазии туда не ногой такого позора ещё не видели вывод русских ненавидят ",11 августа 2022
22," хотите ротавирус? сюда! всей семьей подхватили кишечную инфекцию, болеем недели, не вернемся сюда, отдых испорчен! судя всему это обычное дело абхазии. ",06 августа 2022
23," ужасный отдых ! не ногой грязную гагру,приехали отдыхать 7дней,4 дня диарея рвота ужасная,ротавирус,больница забита ,все туристы детьми,делают капельницу,с отеля магнолия болеют,сброс канализации береговой линии,это просто капец!встать не можем обнимку унитазом 4день!лучше турцию наверное деньги ",04 августа 2022
24," лежачие полицейские установленные попало попало... вечеру вылазят оборотни дерут можно... местным можно, встречка не значит, успевай пропускать, зато не местных неправильную парковку будут крутить лишение, подозревать выпивке... т.д... ",31 июля 2022
25," плохо очень плохо дичь. совок. пофигизм. этими словами опишу первый надеюсь последний отдых абхазии. слову сказать который финансово обошёлся хороший отель турции. всем дело нет нравится тебе нет, не вернёшься приедет - принцип. отдыхаем отеле sunrise garden гагре. номер сутки стоит 10 тыс. питания завтраки. ребёнок подхватил ротовирус, вырвало немного постель. предъявили не могут это отстирать плати ущерб. баре бассейна пить стеклянных бутылок продают напитки именно стекле)). пляж грязный, собак, ещё одна фишка абхазии это катера которые едут головам зазывают покататься прям буквально метр берега рядом люди купаются. ещё соляркой воняет. питание абхазии плохое, дорогих местах не вкусно, дешевых антисанитария. поэтому каждый второй ротовирусом болеет. ",29 июля 2022
26," семьёй новом афоне.все супер,жене понравилось. поводу абхазской полиции никто ниразу постановил, касается абхазских водителей, да правила нарушают, плане разметки скоростного режима.ездили озеро рица, встречные авто горах приживутся обочине пропустят вас, не скажешь наших российских водителях сочах практически одни уроды джигиты армянские,выскачить навстречу это нормально. хочу заключении сказать : езжайте отдыхайте абхазию просто супер. ",14 июля 2022
27," абхазия стоит побывать!!! экскурсии абхазии понравилось, кроме долгого ожидания границе. условия создали столь долгого ожидания...ездили микроавтобусе 1900 рублей. нашим экскурсоводом леон. рассказывал очень интересно, повествовательно, шутил. места экскурсии произвели впечатление: гагра, озеро рица, голубое озеро, церковь старом афоне т.д. везде останавливались купить сувениры перекусить, навязчивости продавцов не увидела. дегустация вина. мёда. чая...все отличного качества. купили мясо очень вкусное . мёд сказочный... удовольствием съездила ещё!!! отдельное спасибо водителю вано,просто шумахер. ",13 июля 2022
28," отдых новом афоне , абхазия отдыхали новом афоне, очень классно. экскурсии озере рица. природа прекрасная, виды изумительные, водопады впечатляющие: гегский, молочный др. какие ущелья?!, просто сказка. время поездки места, вдоль трассы грохочут горные речки, кругом зелень, пышная роскошная. абхазское застолье :- это что-то!!! национальные песни танцы, храм х века, застолье селе дурипш, шашлык мангале, мамалыга, блюдо фасоли, сыр, овощи,соленья, вино, чача соки. ",13 июля 2022
29," везде хорошо... спасибо отзывы, туризм это бизнес, психология, ментальность, политика плюсы минусы. люди исчезают семьями, не повезет. наоборот такие ездит. ",30 июня 2022
30," запаситесь терпением здоровьем ездили абхазию уличным агенством дубровка. да природа действительно прекрасна все! очень выматывающая эксурсия людям проблемами здровьем маленькими детьми лучши не ехать укачивает тошнит. бесконечные горные серпантины. очень времени занимают беспонтовые места нечего смотреть типа водопадов мужских девечьих слез, новый афон бред, поиехать убитый храм час бродить тереторию, эскурсию не молится езжу. гид линда монотонным голосом вешала заученый текст которого засыпали, просьбу уставщего народа отвезти таможню не мучить отказали, сказали никто не встретит ",22 июня 2022
31, интересно.. собираюсь..посмотрю дикарей) ,22 мая 2022
32," анакопия сказать, - лоха жизнь плоха 🤣🤣🤣 . частичка правды есть, не таком контексте . лох- это судьба👍🏻. абхазия нужно ехать людьми , которых знаешь самому машине. так…. будут разводить, вестись. повесил автор ))). полуразрушенная , время очень колоритная республика , море чистое везде, сочи точно не сравнить . абхазия природа, откуда море грязь будет. города которые ближе расположены границе, красивого чистого не будет, т толпы лохов/туристов😀. ",14 мая 2022
33," опасайтесь гопарей белыми овечьими шкурами местах массового скопления людей! обязательно прячьте телефон! двое подходят сзади, выхватывают телефон держат руки, третий накидывает шкуру начинает фотографировать ваш телефон говорит скока тысяч рублей. жертва говорит не буду платить , появляется парочка откормленных ментов, постукивая дубинками спрашивают - какие проблемы? просто реально телефона, видеть рожи шмонающих гопарей, так, нет телефона, своим ментам нечего предъявить, фотографий шкуре нету! ",12 мая 2022
34," всем рекомендую 👌 отдыхали новом афоне конца сентября начало октябрябархатный сезон, погода стояла ещё жаркая, море тёплое, где-то неподалёку впадают холодные речушки, чувствовалось. ооооочень понравилось, обещали вернуться ещё раз. достопримечательностей зелени. туристов это время не много. всяких экскурсий. местные доброжелательные, лайте, живут спокойной, размеренной жизнью 👌 ",02 мая 2022
35," трансфер абхазски. не трансфер. 5 сентября заказали трансфер пицунды адлер вокзала. отдали 700 рублей. довезли псоу(пешеходный переход), дальше пешком. местный сталкер взял одной женщины чемодан, остальные тащили собой. народу много, работали пункты пропуска. минут 40 россии. российской стороне микрик, правда стоял гораздо дальше конечной. вещи себе. россии въезд выглядит точно же. чемоданы собой! возможность, нужно рассматривать переезд адлер-гагра поезде. цена несколько ниже, поезда не выходить. ехали адлера гагры машине, встречал родственник. российской стороне пассажиры выходят, вещи машине. абхазской паспорт показать. это гораздо сезон переезд машине занять 2-3 часа. ",06 сентября 2021
36," отпуск абхазии удался несмотря что! счёт высадил эвкалипты туи - которые осушили местные болота, затем завёз рассадил: мандарины, оливки, виноград, чай, инжир, табак, другие культуры; пляжи оп курорта пицунда рукотворные. войны 1992-1993 года абхазия 10 лет блокаде, благодаря россии сегодня абхазии мир возможность торговать. валюта абхазии апса́рс - соответствии законом монеты банкноты являются платёжным средством всей территории ",27 августа 2021
37," отварительно отдыхали г.сухум 11.08.2021 18.08.2021. проживали чехова , дом 36, квартира втором этаже. ежедневно отключали свет. воды не слова совсем. 8 человек ежедневно дежурили крана, набрать 5-литровые бутылки сколько воды. звонили хозяйке аиде поводу воды, движений ноль. пришлось съехать раньше сутки, жить воды отдыхе - это трудно, нормально туалет сходить, еды приготовить. отдавать деньги последние непрожитые сутки аида отказалась. денег нет, воды нет -все аргументы. отдых испорчен. это выживание, не отдых. ",18 августа 2021
38," абхазии нам не понравилось! абхазии - гагра 1 авг. 8 авг.2021. жизни туда не поедим. сервис кафе ужасный, грязно, мусорных вёдер нет городу, ходят аптеку одинаковыми симптомами: тошнота, диарея температура. машины экскурсий древние плохо выглядят. абхазцы лишнего движения не сделают сами. вообще не приветливый народ!!! всё делают отвали . всё, показывают блогеры видео - ложь!своих фруктов овощей нет - домашних. вина заводские тётечки какой-то набуторенные. еда вся наружу, туда мухи, пыль всё, угодно садится. не особо вкусная. сыры солённые очень. сабли кинжалы made in china!!!! понравилась природа, море территория нашего отеля. ",10 августа 2021
39," абхазия, природа отлично, некоторые хозяева не стоят нашего внимания денег. доброе утро, отдыхали п. лдзаа ул.политрука назадзе 13, (алт лава в.а.) не рекомендую это место, оплатили 6 суток, 5 сутки хозяйка имени ванда (скандалистка) нам сказала пора съежать, деньги не вернули, угрожали расправой, не докажешь! печальные условия т.д. вообще говорить не хочу! ",08 августа 2021
40," душевная абхазия вернулисьиз абхазии,(,,стране души ) отдыхали пицунде.природа море действительно чудесны.еда кафе ресторанах недорогая вкусная. это плюсы,а душой, не поняли,такого хамского отношения туристам представить не могли кошмарном сне,за 5 минутное опаздание автобус посещении экскурсии,выслушали столько брани ругани называемого ,,экскурсовода ,что сюжет программы ,,ты не поверишь вообщем,очень ,, душевно оторвался . ора безпридела тряслись руки пришлось принимать успокоительное, замдиректора пицундского экскурсионного бюро,куда обратились,пообещал разобраться самым тщательным образом,взять инцидент личный контроль, пару дней паузе,а пригласил посидеть уютном ресторанчике обсудить да 😔🤗 маршрутки вообще отдельная история,тоже очень ,, душевно ,на рынке ,если не купил товар ,ну просто море теплоты душевности ",21 июля 2021
41," нескольких экскурсиях, хуже не мог представить отдыха. дигустация якобы хорошего(в ковычках) абхазского вина барматухой липового(в ковычках) меда вообще добивает, впихивая хрень всем туристам не силой, не покупают сильной обиде. ",11 июля 2021
42," отличный отдых сухум!!! сухум 2019 году отдыхали!! 2 недели.. не сравнишь, турцией..нам понравился сухум!! народу пляже мало, чистое море, цены такие низкие, оболдевали ",27 июня 2021
43," данный момент отдыхаем абхазии, гудаута. прекрасный отель добрыми людьми, адекватные цены, местных магазинчиках цены - приятно удивлены. столовые хорошим меню отличными ценами - обед семью 5 человек 1500 рублей . также ресторане веранда - вкусно, красиво - любители кавказской кухни, плавали-знаем… сегодня собираемся детьми одну высотных заброшек - любим приключения. общем, хотите включено - езжайте турцию будьте счастливы. хотите самостоятельных приключений, немноголюдности - приехать сюда. и, кстати, никто не смотрит вас, денежный мешок. сочи достали голубятники, обезьянники, которые норовят посадить зверушку плечо моих детей… общем, желаем всем хорошего отдыха!!! поездку - отличным настроением! ",27 июня 2021
44," не советуем абхазии, впечатления мягко сказать отрицательные,кругом разруха,и грязь.ездили индивидуальные экскурсии местным абзацем,всю дорогу слышали мат сторону грузин, сплошная агрессия ,хотелось быстрее бежать него.подумайте сто прежде ехать туда ",27 июня 2021
45," абхазии давно. судя нынешним многочисленным отзывам недавних отдыхающих-это действительно рулетка-как повезет. возникает вопрос-зачем нужен отдых, запросто напороться оскорбления, агрессию, надуманые правила. самое главное-отсутствие чувства безопасности. напороться конфликты местным населением, беспределом стороны местных полицейских. возникает мнение, абхазы вообще обнаглели отношению российским туристам, разучились работать, понравилась халява, которую предоставляет местна, природа. нет никакого желания ехать туда отдых... ",20 июня 2021
46," остались очень довольны жильем отдыхом. отдыхали начале октября 2020 г. гаграх частном секторе ул. ленина 199. хотим огромное спасибо сказать хозяевам дома гостеприимство. люди дружелюбные, добрые, отзывчивые. всё подскажут. гостей переживают заботятся своих.в кратце: аэропорта сочи нам тетя нана заказали трансфер дома гаграх. проблемы добраться не было.в комнате чисто уютно, вся техника работала. санузел находиться каждой комнате, горячая вода всегда. кухня самостоятельной готовки имеется.спускаться море минут 5, спуск достаточно удобный, хотя ж/д переезд. кафе столовые, магазинчики едой сувенирами рядом.и самое главное — отличный вид открывается террасы море закат. забыть суете наслаждаться видом.мы остались очень довольны жильем отдыхом. ",22 октября 2020
47," странные абхазцы пицунда прекрасный уголок природы море чистое , сосны дельфины ! это портят некоторые местного население . среди прекрасные люди , некоторые , которыми столкнулась настолько странно гадкие , полностью отбивают желание отдыхать . например : выгнала хозяйка гостевого дома расположенного адресу пицунда , кипарисовая аллея д 9 ночью чемоданом улицу причине хозяйка не знала горничная заселила одну ночь - это узнала - выгнала !!!это возмутительно ! большинство местного населения имеют мнение должны . большинстве кафе обслуживают лицом делают одолжение , принимают , ещё всяких ! правилам вежливости клиентом не обучены , вежливы - это наигранно , толко скроетесь вида лицах лицезреть высокомерное отвращение вашей персоне . ",07 октября 2020
48," года назад. грязь, разруха, воровство, эмоций почве не занимать. ехала дабы не верить негативным отзывам, посмотреть своими глазами. разочарована. оставила отзыв аквапарке гагре, не рискнули туда пойти, хватило увидеть грязь туалеты входе, не вырвало. негатив лился несколько дней, причем не меня, других, кому не понравилось. вплоть выражений сдохни, тварь .делайте выводы, скрывается напускным гостеприимством. туда не поедем, другим не советуем. моего коллеги практически рук вырвали дорогой фотоаппарат пляже, шныряют малолетки-воровайки, кафешку вечером не зайти, русским девчонкам проходу не дают пьяные джигиты. позорники. мало ездит, могут грязью поливают. ужасно конечно. ",24 сентября 2020
49," неоднозначные впечатления отдыха абхазии отдыхали цандрыпше. целом абхазии прекрасная природа, кухня, люди. минусы. цандрыпше не оборудован пляж: нет раздевалок, зонтов, мусор. навязчивые услуги катания водных мотоциклах, выхлопные газы постоянный шум. осторожнее покупками туристических рынках. купили экскурсии собора лыхны фундук, чурхчелу вяленую хурму. фундук испорченный 90%, чурхчела хурма испортились следующий день. то, покупали местных жителей рядом отелем нормального качества. ",17 сентября 2020
