,mark,review_text,date
13,1," хозяин гд лиза - непорядочно поступает!!!! гостевой дом лиза адлере. выбрали месторасположению, наличию мест фото сайте. факту: приехали аэропорта маленьким ребёнком, наш номер буквально вот- продали, не ответили звонок .а это время спокойно летели самолёте, немного уставшие, предвкушении быстрого заселения прогулки морю. хозяин крайне непорядочно поступил, правда улице не оставил: заселил другую часть города, номер пахнущей канализацией непрерывно летящими самолётами головой. не бронируйте, учтите наш опыт выяснилось не наш!!!! ",28 сентября 2022
14,4," дегустации 25.09.2022. вино не скажу (его не пью не разбираюсь), шампанское, которое выдают своё очень удивило. производитель г.уфа, перекрестке стоит рублей 190, продают 500. дегустацию съездить можно, не покупайте. ",26 сентября 2022
15,2," поездке запаситесь регидроном, полисорбом жаропонижающим! поберегите свое здоровье обойдите сочи стороной выборе места отдыха! отдыхали лоо 8дней! 3 дня купались море, не вылазили воды! четвертый день всей семьёй хапанули ротовирус, переболели так, думали помрём, температурой, рвотой поносом! оклимались день вылета! итоге провалялись номере, мало потратили кучу денег! сочи билет дешёвый самолёт, обратно дороже раза - чисто замануха! мониторьте цены билеты сразу. аэропорт, полное днище - херова туча ларьков кафе, сесть пассажирам негде! дороги вечно перегружены, нет мест парковки! общем городе первый последний раз! крыму херни нет! ",25 сентября 2022
16,1," мрак! ужасный город. постоянно отключают воду электричество, объясняют это внештатной ситуацией. водоканала г. сочи сплошные отписки, включат никто не знает. не пять минут отключают, бывает около суток. думайте туалет сходить помыться. везде грязно. какие-то непрекращающиеся стройки. это точно курорт? дороги узкие, постоянные пробки. море грязное. ротовирус подхватить проще простого. поднимись выше центра, никакого тротуара. постоянно бездомные собаки, которые сбиваются стаи. ",23 сентября 2022
17,2," отвратительный маленький посёлок, некуда сходить совсем, пляжа нет, вход море булыжники, которые разбила ноги, море впадает речка вонючка. никому не советую. ",23 сентября 2022
18,5," очень мусора подростком, родители привезли джубгу отдыхать не помню, честно, всё выглядело. сейчас, приехав, своей семьёй детьми, не очень понравилось, очень грязный пляж ,на рынке цены менее норм, везде мусор самом селе тоже, покатались, посмотрели, везде полно мусора,окурков.есть сравнить конечно, 2 года назад архипо-осиповке,4 года назад голубой бухте геленджике, намного чище. ",21 сентября 2022
19,10, обязательно посетить большое спасибо хозяйке галлереи творчество позитив! получили море удовольствия координально изменился взгляд жизнь! ,21 сентября 2022
20,1," гадюшник это самое ужасное место отдыха , зас …. полный кошмар , ещё крым обсе…. намного лучше, первый последний ",20 сентября 2022
21,2," грязно , помойка грязно ",18 сентября 2022
22,2, не тратьте время деньги полный кал. еда вообще цены адлере. контингент быдло. ,14 сентября 2022
23,3, морской мясной бриз. центральный пляж новороссийске очень людное место . открытия кафе бывший макдональдс новое вкусно точка воздух пляже не возможно дышать. пахнет не морем горелыми котлетами горелым маслом . говорит отсутствии фильтров кафе оплаченной санстанции открытия данного кафе. ,13 сентября 2022
24,2," кошмары это кошмар. никакой периферии! имеритинка теперь. блевали гостевые дома. море стекает речка вонючка. узкие улицы, населенный пункт горный воздух вообще закрыть. скорые ездят отелям ",09 сентября 2022
25,4," купаться олимпийские обьекты- прозрачное море. хочу написать такси- тройной тариф,цены зашкаливают. 4 раза концерте сириус,выбраться оттуда невозможно. подъезжают таксисты называю цену- 3 000, 500 человека. ехать курортного городка,сайт висит- идёт сброс вызова .автобус 51 проезжает битком не останавливаясь даже. проехало 4.про питание. не отравилась,но кафе малахит ул. просвещения,и рядом кафе - очень используют химические добавки- обострилось желудок желчный. шашлык пляже( около кафе барракуда) - отдельная песня,тоже удобрено консервантами.вонь улицах кургородка видно открытые трубы прямо вонь течет море. ",07 сентября 2022
26,1," отвратительно отвратительный отпуск, хуже не отдыхал деньги! местным армяшкам привет! не разбавляли алкоголь, таки люди не скоты! ",05 сентября 2022
27,10," спасибо артистам африканской деревне. нам удалось побывать африканской деревне п. сукко. анапы недалеко, красивая природа. самое интересное это шоу танцами красивых костюмах песнями. принимали участие конкурсах, вся программа пролетела очень быстро. остались положительные эмоции, спасибо артистам. ",05 сентября 2022
28,2," это ужасно сентябрь 2022, заказали экскурсию кипарисовое озеро , частный гид николай, отопый раздает визитки позиционирует представителем анапа тревел тур, дайвинг продаёт свои услуги джемете, 1300р стоимость , показал фото комфортабельного лексуса кондиционером, факту : развалюха машина, кондиционера, радиатор горел, каждый километр осьа6авливал, осьудить, это ужас! водитель алексей, сказал, подвергать опасности пассажиров - это норма . не красоты, лишь живыми доехать отеля.обходите стороной мошенников будьте здоровы. не стоит покупать левые экскурсии частных лиц. ",03 сентября 2022
29,4," оплата лежаков инвалидами 2 группы пляжах анапы неизвестные лица требуют инвалидов 2 группы личные денежные средства лежак. вопрос - основании каких законодательных документов это происходит , пока никто администрации города анапы сборщиков денег пляжах города документы не предоставил . очень хотелось заполучить законодательные акты . ",30 августа 2022
30,1," просто ужас кошмар!!!!!! категорически не советую, город грязный также пляжи, галечный, песочный. машине проехать не реально. поворотники не включают, улицы заставлены машинами середины. остаётся одна полоса середине. смотрит мэр, везде грязь пляжах платные лежаки переодеться негде, деньги. тина, вонь, грязь. становится хуже каждым годом. туристы хамы не воспитанные. гостевом доме ведут барины. никакого уважения друг другу. культура отсутствует вообще!!!! всё дорого не выгодно. цены продукты завышенные. развлечения детей, бутик сходить. просто ужас, категорически не советую. жара, влажность, грязное море город, отвратительнее туристы движение. ",28 августа 2022
31,2," ужасно грязное море это самый ужасный отдых нашей жизни! многодетная семья, год наугад поехали адлер, просто потому, самолетом добраться сочи. предположить не могла, курортном месте ужасно! первую очередь, грязное ванючее (слово подобрано правильно) море! это возмутительно! самом адлере стоит запашина канализацией!это недопустимо! прямо огромные трубы спущены море, видно это г.... течет море! болеют все! второй день слегли! очень сильно! скорую вызывали раза! пришлось платную(6 тыс. человека!!!!!!!) т.к. бесплатная просто не справляется. врач скорой сказала , сутки поступает 1000 вызовов, диареей рвотой! грязь везде! дома натыканы близко, впервые такое вижу! не рекомендую!!!!!!!!!!!!!!! ",27 августа 2022
32,2," слов нет, одни чувства! это не курорт - это ад. сюда полетит отговорю любого. местные жители пояснили, море не купаются, канальи стекают море. дети заболели 4ый день положили больницу, пропустили самолёт. хотели туда уехать, цены пляже не обоснованно высокие, ребенка покусали комары. пляж каменистый камни очень большие, заходить не приятно, ноги переломать, лежать таких камнях не приятно, общем это наш последний отдых распиаренном курорте сочи. цены пляже космос. хотели поправить здоровье, получилось, уехали инвалидами, ещё пол года восстановливаться курорта. единственное, понравилось это сочи парк. ",24 августа 2022
33,2," очень плохо, ожидали хорошо, увы. просидели дома кишечной инфекции, отдых насморку. магазинов нет магнит, не понятный какой. отсталый поселок других поселок. ",23 августа 2022
34,1," не советую море не очень чистым, еда столовых невкусная, минусь-отсутствие набережной таковой!!! также нет парка никакой природной зоны отдыха, какждый сантиметр превращен аттракцион место продажи чего-либо. ",21 августа 2022
35,1," уважаете не считаете быдлом, советую не ехать свалку очень разочарована. очень очень грязный поселок, цены недешевые, продукты страшно покупать, везде мусор, урн не найдёшь, стыд позор администрации поселка, которые обязаны следить чистотой, почему кабардинке архипо-осиповке чисто какие-то другие отдыхающие? сюда не поедем. не посёлок, одна сплошная свалка. набережную вообще молчу, грязно. подумать не могла, курортный поселок настолько грязным, люди едут отдыхать, загорать, не ходить свалке, обходя окурки, прокладки остальной мусор.в таких условиях не ротовирус, холера появиться. раньше прочитала отзывы, сюда не приехала, жизнь буду вспоминать замечательный поселок ольгинку. море действительно очень красивое, теплое, чистое, начиная побережья - некоторых местах индия отдыхает... ",20 августа 2022
36,10," теплое мелкое несоленое чистое море, песок. сказка! отлично! тут. приехали 20 августа. море очень тёплое, парное молоко, медуз очень мало, нет, вода не солёная, песочек, море мелкое, детям раздолье безопасно. рядом аквапарк, куча кафешек столовых, живём коттедже прямо берегу, всё отлично! самое лучшее море. чёрным не сравнить. ",20 августа 2022
37,1," хотите получить испорченый отдых джубгу!грязные пляжи,вплоть море плавают прокладки,шприцы,мусор…отсутсвие мусорок бесплатных туалетов,отсутсвие освещения улице везде постоянная воньаквапарк это вообще отдельная история ,после посещения выпали жизни отравлением температура 40,рвота далее,работники аквапарка дети,которым вообще как-то фиолетово всех.все получили это испорченый отдых потраченные деньги ! ",20 августа 2022
38,2," не понравилось не понравилось. тесно, грязно, людей очень много. цены такие же, адлере. развлечений мало. гулять не интересно. смотреть не что. ",18 августа 2022
39,3," приветливый берег приехали детьми семьей ул. луначарского санаторий приветливый берег. море очень грязное, мутное, плавает хлам, рвота. санатории еда не вкусная, плохо сваренная пища, одинаковое, отходное приготовление. итоге понос рвота всей семьи. дети температурой дня пять дней болели отъезда не выздоровели не отдохнули. потраченные деньги. отдых испорчен. не рекомендую слова совсем! ",17 августа 2022
40,1," ужасно грязь, вонь. хуже места не видела, трасса проходит посёлок постоянный шум. не рекомендую ",16 августа 2022
41,7, бюджетный отдых всём здравствуйте. хочу поделиться своими впечатлениями отпуска г. ейск. начну хорошего. не очень строго сужу отдых. отдыхали николаевской улице. гостевом доме. уютный частный сектор. пляжем. рядом набережная парки. магазины столовые - всё шаговой доступности. цены бюджетные. жильё питание. вечером вполне сходить. очень понравилось кафе улугбека. нахваливаемый баклажан не очень. дорого не вкусно. минусов - карусели кусаются. цена 200-250 р. учётом того.что времён ссср. страшновато. городе нет освещения асфальта. вечером приходилось подсвечивать дорогу.дабы не сломать ноги. отдельная поэма морю)) море тёплое мелкое. камни ракушечник. запасайтесь специальной обувью. детей просто рай. ,14 августа 2022
42,2," ротовирус антисанитария курортах сочи отзыв тех, думает ехать отдыхать курорты сочи! 100 подумайте! особенно детьми! антисанитария каждом углу! канализация сливается море! очистных либо нет, либо не работают! туалетов пляжах нет, кафе, стоимость 40 руб. испражняются море! ротовирус свирепствует! рыгающих. одно купание море 5 дней номере, диарей, рвотой температурой. инфекции слова, молчат. ужасно! сюда не приедем! ",14 августа 2022
43,10," , теплоход черная жемчужина не ходите теплоход черноморская жемчужина туда коем случаи не ходите обман , обман обман сказали нечего не , сказали обманули , сказалали жестко наебали ! причале стоит светлый пацан микрофоном хам ! остальном ",14 августа 2022
44,2, днище ад плюсов красиво остальное одни минусы:супер душно ночьюгород всё время пробкахнет парковок работает организованная группировка эвакуации машин вымогательству денег штраф стоянку эвакуируют мест нет знака работает эвакуаторобщепит дороже москва иди питерв целом место не отдыха стреса достаточно изолироаано ,14 августа 2022
45,3," убогие пляжи, мусор грязь убогие пляжи, мусор, грязь разруха. ",13 августа 2022
46,1," грязно ужасное место, грязно, дорого.нет урн, нет пешеходных переходов.из плюсов пляж, мусор. ",11 августа 2022
47,5," танцующие хотя поющие фонтаны??? семьёй находимся анапе неделю. фонтаны назвать поющими танцующими невозможно. нет музыкального сопровождения. это просто фонтаны, подсвеченные разноцветными лампами. положенный шоу час фонтан остаётся обычным, таким, любое другое время.жаль... ",11 августа 2022
48,1," отключение воды каждый день, 2022 год, август нет воды горячей холодной 13 часов 19 часов многоквартирном доме ул островского. это не курорт, смех слезы....на улице 35 градусов, туалет смыть нечем. ук прораб говорит, экономят.... ",10 августа 2022
49,1," добрый день!в адлере впервые,очень удивлена многочисленным положительным отзывам,может пригодится отзыв кому нибудь.мне лично не понравилос,номер взяли вокзала,близость морю,но морю добирать вокзал ближе.слышимость самолётов шум поездов жд. мусора,грязи это центр.бомжи переходе,вонь стоит весь переход них.куда смотрит администрация города?все платно не обустроено.движение,носятся башенные,пешеходам не уступают.больше точно не приеду.вы думайте сами. ",10 августа 2022
50,2," отдых джубге отдых джубге сплошное разочарование 😞 сервис нулевом уровне нет вообще, цена жилье не сопостовима условиями , еда везде однообразна постоянно стараются общитать ,детские развлекушки побережья оставляют желать лучшего , цены морские развлечения течении дня могут меняться чьего-то настроения . архитектура города ужасная .постройки большая часть- гостевые дома большая часть построена стиле похрен как, зато номеров . плюса весь отдых аквапарк не обошлось эксцесса покупке мороженного сливками продавец пытался высасать баллона сливки ртом , увидев,что наблюдают понял , не получится . городок очень грязный мусора 🗑 везде числе пляжи кабинки периодивания это нечто глядя это не понимашь людьми происходит самоуважения ноль . ",09 августа 2022
51,2," алтай конченное место ,одна большая деревня ,транспорт нормально не ходит,отдыхаек муравьев ,сервис говнище , понаставили красивых зданий вокруг села думают это курорт,дизлайк короче ",09 августа 2022
52,1," джубгу не стоит ездить. отдыхали всей семьёй геленджике решили съездить джубгу пляж, хуже зрелища ещё не видели. побережье грязи,в воде плавают окурки,пластиковая посуда.рядом парк находится ужасном состоянии,туалет платный прочим самый дорогой 50 руб. плачевным состоянии . дорогие отдыхающие, прежде туда ехать подумайте 100 раз. не могу одного понять, смотрят местные власти санэпидемстанция. отдыхайте комфортно, всё-таки отдых платим свои деньги. ",08 августа 2022
53,1, невозможно жить реверберации монотонного звука который сделает головную боль тошноту рвоту утру хотите сохранить здоровье коем случае не приезжайте анапу точно не живите двенадцатом микрорайоне той стороне бульвар евскина не стоит покупать квартиру горгиппе власти города не будут думать здоровье всему двенадцатому микрорайона раздаётся какой-то монотонный ревербициозный звук подозреваю какого-то холодильного устройства что-то электрическое монотонное работает ночь утром встанете страшной головной болью рвать будете думать акклиматизация отравились самом деле видимо власти города решили понизировать понизить рождаемость союзе 300 борются перенаселением планеты жить районе невозможно людей давление утренняя рвота головная боль вибрирует стальные пластины фасада которыми отделан. бесполезно писать властям мвд прокуратуре это нарушение прав людей здоровье власти города бесполезно говорить ,08 августа 2022
54,2," отравили кафе аллея не вернусь сюда.(((в кафе аллея отравили!!!мы поужинали семьёй, ели всё одинаковое, коктейли разные. коктейль пинаколада. итоге ночь рвота, понос, температура. сутки температура 38 остальные симптомы, думала скорую вызывать, лекарства помогли долечивалась сама. море чистое нашли одном месте пляже. лежак 300₽. народу много, полоса пляжа маленькая. очень маленький городок такое количество людей явно не вмещает. ходить тротуарам не удобно, узкие слишком.из хорошего отмечу отель жили лев ! прекрасные условия сервис! ",06 августа 2022
55,2," испорченный отпуск отдыхали геленджике 27.07-07.08.2022. город понравился очень , хотелось очень оставить отзыв хозяйке, которая нам сдала рассказам изначально дом наше распоряжение дом находится адресу : степная 32, сдают ещё адресу : толстого 63, это рядом , , услышите адрес - бегите оттуда сломя голову . хозяйка испортила весь отпуск свои навязчивым присутствием , постоянно лезет нравоучениями советами , воду поздно включили , рано пришли , последней каплей отключение роутера сети , рекомендацией принимать душ раньше . хозяйку зовут марина , люди , бегите оттуда не возвращайтесь , отпуск испорчен ",06 августа 2022
56,4," пляж не впечатлил почитав отзывы интернете, решили посетить пляж варваровке. сразу хочется отметить, вьезд сюда стоит 500 р машины. чем, выехал ща территорию, второй заезжать придется платно. пляж крупная галька болтшими валунами. вход море пологий, сами камни очень скользкие. взрослому очень опасно заходить, детей говорить нечего. вдоль всей прибрежной полосы лежат насыпи бурых водорослей. шезлонги есть, 300 р шт. целом место красивое, не подходит отдыха детьми слова совсем. берут плату вьезде непонятно ",06 августа 2022
57,7," всем побережье эпидемия ротовируса!!! впервые году, ранее отдыхали азовском море. целом неплохо, сравнению азовским морем невероятная переполненность людьми, следствие всем побережье просто махровым цветом процветает ротовирус. понимаю, везде, море, воздухе, стенах сдаваемого жилья. это просто настоящая эпидемия, люди везде просто друг друге, блюют дрищут, извините выражение. 3 года ездили азовское море, разу (!) заразой не страдали, неделю 2 раза успели посидеть горшках пообниматься унитазом. не знаю, проблемой, но, это просто ужасно, и, думаю, черное море из-за точно не поедем. причем данная проблема не лазаревском, общались людьми, отдыхавшими других местах, черном море ситуация везде аналогична. поэтому, 10 подумайте, прежде, ехать черноморское побережье. ",04 августа 2022
58,5," не понравилось замечательный санаторий,вот пляже полное безобразие....много посторонних,забит весь берег...я такое вижу впервые....заплатить такие деньги нет пляжа санатория,а лежаки...вопрос... нужны ...если морю не пройти ",04 августа 2022
59,2," не приезжайте. особенно дети. самое отвратительное место лоо, горный воздух. речка вонючка, дороги нет, светофор котором толпится народ, работает 199 секунд -красный 10 секунд - зеленый. толпа людей не помещается. жара, пыль, дорога не облагорожена. летят скорости. второй день приезда вся семья заболела чем-то, понос, рвота, боль животе. всему побережью людей таких, похожими симптомами. почему не закроют город? эпидстанция смотрит. ",03 августа 2022
60,2," не могу посоветовать ! не посоветую! дорого,грязно,пойти некуда! слова совсем! цены 100%накруткой! отдать должное своей работе внимательные ,громкиеи юмором спасатели! ",03 августа 2022
61,9," очень понравилось, город чистый, море шикарное, рядом нами проплывали дельфины. ",31 июля 2022
62,6," контрасте! благодарностью! долго думала, писать отзыв. дагомыс принимает гостей контрасте. попробую коротко актуально: пляж чистый, курить выпивать запрещено. это реально плюс. мат русских мужчин, увы, никуда не деть. равно, орущие колонки, которые приносят собой. мамочки малышами держатся, делать!? шезлонги очень дорогие. цена нигде не написана. но, оказывается, возможность купить абонемент 10 дней. скидки пенсионерам. комнаты матери ребёнка нет. туалет (бесплатный) центре пляжа. нем открыто две кабинки. кофейня приличная одна, кофе очень дорогой (хотя нем 30% робусты). хотите отдохнуть детьми, реально озадачиться снять приличные аппарты кухней. плюс, нужна компания. вечерами просто нечего делать. ехать сочи. но, правило, сил нет.что касается сервиса, да, нам - туристам, рады по-своему! ",29 июля 2022
63,4," сразу отмечу, въезде город года 2 делают дорогу, благодаря чему образовывается пробка несколько км неопределённые часы. провести отдых геленджике получится хорошо/отлично снимаете жильё самом городе. жили голубой бухте, которую городом разделяет взлетная полоса. добраться города обратно бухту нужно сделать большой крюк машине. автобусов приходилось ждать несколько часов подряд, навигатор не помогал. легче вызвать такси, придется заплатить 400-500₽! города ехать самое, легче такси. расписания, висящие остановках не помогают! администрация - такие работники.в столовых цены приемлемые вкусная еда, например, столовой 88 нам очень понравилось, особенно картофель салом. также рядом кофейня naked coffee вкусным кофе. красивые пляжи не менее красивыми видами горы! детские зоны ведущими.экскурсий куча! выбирай - не хочу, говорится:) ",28 июля 2022
