,review_text,date
10,"
Испорченный отпуск Были с 30 августа 2022 с другом, отдых прошёл на единицу,  если вообще он был, на второй день заболели ротовирусом он оказалось потом, что он там везде где только можно, но в основном в море, т е купаться там я туристам вообще не рекомендую и не льзя, за исключением того если Вы переболели им недавно, то можете. Полная антисанитария, не вкусная еду, хамское отношение и основное это ротовирус перекрывает всю природу которая там есть. В итоге испорченный отпуск будет на 1000% и потом будете жалеть, перед тем как ехать, но лучше не ехать от слова совсем, почитайте отзывы по этой грязной стране. Приехал из отпуска до сих пор тошнит и не только 🤢 
      
      
",09 сентября 2022
11,"
Можно съездить один раз и то ….. Единственное что хорошего в Абхазии это чистое море , и то бардак который творится на пляжах и этот положительный момент перечёркивает , постоянные причаливание катеров и скутеров ( все боятся им сделать замечание ) ,  хамское отношение с какими то угрозами  перечеркивает все положительные эмоции об отдыхе в этой прекрасной стране 🙁🤷🏼‍♂️😞
      
      
",08 сентября 2022
12,"
Абхазия ))) Абхазия с детьми. Отдых прошёл замечательно,отдыхали в Цандрипш. Ездили с мужем ,с дочкой 3 года и сыном 12 лет. Как и думалось и знали ,что адаптацией столкнуться все и набрала целую кучу лекарства. Знаете пол дня всего лишь было плоховато и потом опять на ногах. Мне кажется на каждом отдыхе далеко от дома это происходит. Отпуск был просто шикарен, местность замечательная ,воздух отменный. Так что советую всем отдохнуть в республике Абхазия. Изумительные места.
      
      
",08 сентября 2022
13,"
Ужа Ни за что , слышите ? Ни ногой сюда . Если хотите потерять пару дней отпуска и побегать в туалет то вперёд … господи Боже мой, не да бог мне здесь ещё раз оказаться . Причём после пару дней все не пройдёт 🤣какать вы будете ещё очень долго . Нет нет нет ужас ужас ужас . Это того не стоит вот и всё 
      
      
",06 сентября 2022
14,"
АМЗА и АМРА-выбирайте лучшее! Очень нравится Абхазия, а именно Новая Гагра . Не понимаю отзывы на подобие «здесь все разрушено»- люди , а Вы читаете заранее куда едете ??!? Так то это история страны , города , тут в основном все такое … поэтому сюда и ездят толпы туристов ! Так же совершенно не понимаю отзывы «Отравились , не вкусно , грязь и тд тому подобное», ну если Вы заранее бронируете непроверенные отели , или все равно где жить и где есть , главное подешевле — чему вы удивляетесь ?!? Не страна в этом же виновата !!! Это Вы такое выбрали сами ! Вы так же и в Москве , и в Питере же выбираете - подешевле , непроверенное, главное больше халявы и увидеть город и все равно на себя и своё здоровье!! Мы выбрали Амза Отель 5 звёзд , гигантский выбор еды — шведский стол завтрак , обед ,ужин — все свежее и очень вкусное. На ужин даже вино наливают в свободном доступе , первая линия моря , есть свой пляж и бассейн . Люди ! Берегите себя - выбирайте лучшее !!  
      
      
",04 сентября 2022
15,"
Рекомендуем тур от этого оператора Новый Афон — Индивидуальный тур . Во-первых хочется отметить, что мы оказались очень рады , что нам из гидов достался именно Глеб , второй день подряд (Алан — спутник.ру). Новый Афон -чудесное место.  Побывали в Храме Симона Кананита, помолились, поставили свечи. Глеб рассказал об истории создания храма и жизнедеятельности святого. Посетили Монастырь. Прошли экскурсию по пещерам, очень вкусно пообедали в кафе у Гены ( очень советуем суп харчо, шашлык и вино сухое красное ). Посмотрели Новоафонский водопад, ГЭС.  В Приморском парке посмотрели лебедей, страусов.  Скульптуры ротонды, мостики ,создают романтическую атмосферу. Глеб все очень четко рассказал об истории этих мест— вообще очень советуем именно этого гида — так как вся дорога прошла весело и максимум комфортно , что очень важно при выборе индивидуального тура. Получили от поездки колоссальное удовольствие— спасибо ! 💙
      
      
",04 сентября 2022
16,"
Абхазию никому не советую, полный шлак, хуже цыган 
      
      
",31 августа 2022
17,"
Хамское отношение и не уважения к своим гостям! Заказали вчера в этом ""замечательном"" заведение 400 грамм шашлыка.Нам принесли ровно 6 кусочков мясаНа вопрос к официанту что это все?! Ответ положительный.Пошли к весам, весы конечно не кто не дал. Прибежал шашлычник говорит я мясо сырым взвешиваю, хозяйка столь замечательного заведения была проще.Не нравится идите отсюда!
      
      
",27 августа 2022
18,"
Не стоит ехать в Абхазию  если вам своих детей жалко и себя Приехали на отдых в Абхазию в (Гагра нов) семьёй в отпуск на 10 дней вот так унас все было   на 3 день заболел муж 2 дня болел, следующим был ребенок 2 дня болел ротовирусом сделали укол цирукал ,через день заболел второй 4 летний ребенок обратились в больницу ждали 4 часа очереди и таких много болееющих ротовирусомХодим уже туда 2 дня ставим капельницу  стоимость капельницы 1000 р. Стоимость приема 500 р. Разговаривают не вежливо,хамят катететер поставить с первого раза не могут. На следующий день заболела супруга 2 дня недомагания диорея, рвота. С 10 дней отпуска получился какой то даже не отпуск а хождение по больнице где тебя не кто не ждет  ни кому ты не нужен бардак все ждали момента выезда так как билеты заранее куплены. В море стекает прям на пляже сток грязной и очень пахнующей  воды. Дети мучаются потом в больнице под капельницами весь этаж полный пятый. Не стоит ехать в Абхазию 
      
      
",19 августа 2022
19,"
Отдыхали в Гулауте с 4 по 12 августа, первые 5 дней все было просто шикарно, море чистое, пляжи свободные, природа шикарная!!!А потом начался ад!!! Хозяйка номера по проспекту героев, 37 начала нам указывать что и как делать, и вообще все запрещать. В конце концов довела до того, что мы собрали вещи и решили съехать. В итоге наслушались столько оскорблений, матов и прочего хамства!!!Испортила все положительные впечатления. 
      
      
",14 августа 2022
20,"
Всегда считала, что Абхазия - это рай! Оказалось - ад! Жили в Гулауте на проспекте героев, 37.Кошмарное место-это мягко сказано! Хозяйка грубит, хамит и матом посылает, в общем, делает все, чтобы Вы съехали раньше времени! И деньги за оставшиеся дни не вернула!!!Не советую это место, дабы Вам испортят отпуск!!! 
      
      
",14 августа 2022
21,"
Отдыхаем в с Приморское Район Гудаутский Были   на юбилее хозяйки где снимаем жильё Были люди с туристического места , в точнее сероводородного источника Пьяные абхазы оскорбили русских туристов , отказались выпить за Россию ссылаясь что они пьют только за достоянную нацию и это Абхазы . Назвывали плохими  словами русских туристов , а точнее матом и уничижали Настроение испорчено Просто обидно что эти люди там работают и один из них хозяин этого сероводородного источника Мы приехали отдыхать платим свои деньги и получаем кучу унижений . На сероводородый источник даже ходить не стоит Есть более достоянные источники в Абхазии Туда больше не ногой Такого позора мы ещё не видели Вывод один русских они ненавидят 
      
      
",11 августа 2022
22,"
Хотите ротавирус? Вам сюда! Всей семьей подхватили кишечную инфекцию, болеем уже больше недели, никогда больше не вернемся сюда, отдых испорчен! Судя по всему это обычное дело для Абхазии.
      
      
",06 августа 2022
23,"
Ужасный отдых ! Больше не ногой в грязную Гагру,приехали отдыхать на 7дней,4 дня диарея рвота ужасная,ротавирус,больница забита ,все туристы с детьми,делают капельницу,с отеля магнолия все болеют,сброс канализации по береговой линии,это просто капец!встать не можем в обнимку с унитазом 4день!лучше в Турцию наверное за эти деньги
      
      
",04 августа 2022
24,"
Лежачие полицейские установленные где попало и как попало... К вечеру вылазят оборотни и дерут за все что можно... Местным все можно, встречка ничего не значит, только успевай пропускать, зато не местных за неправильную парковку будут крутить на лишение, подозревать в выпивке... И т.д...
      
      
",31 июля 2022
25,"
Плохо очень плохо Дичь. Совок. Пофигизм. Этими словами опишу мой первый и надеюсь последний отдых в Абхазии. К слову сказать  который финансово обошёлся как в хороший отель в Турции. Всем дело нет нравится тебе или нет, ты не вернёшься приедет кто нибудь другой - такой у них принцип. Сейчас отдыхаем в отеле sunrise garden в Гагре. Номер в сутки стоит 10 тыс. из питания только завтраки. Ребёнок подхватил ротовирус, вырвало немного на постель. Предъявили что не могут это отстирать и плати за ущерб. В баре у бассейна нельзя пить из стеклянных бутылок а продают они напитки там же именно в стекле)). Пляж грязный, много собак, ещё одна «фишка» Абхазии это катера которые едут по головам и зазывают покататься прям буквально метр от берега рядом люди купаются. Ещё после них соляркой воняет. Питание в Абхазии плохое, даже в дорогих местах не вкусно, а в дешевых антисанитария. Поэтому здесь каждый второй ротовирусом и болеет. 
      
      
",29 июля 2022
26,"
Были семьёй в Новом Афоне.Все супер,жене понравилось. По поводу абхазской полиции никто ниразу постановил, что касается абхазских водителей, да правила нарушают, но только в плане разметки и скоростного режима.Ездили на озеро Рица, всегда встречные авто в горах приживутся к обочине и пропустят вас, чего не скажешь о наших российских водителях в Сочах практически одни уроды джигиты армянские,выскачить навстречу для них это нормально. Что хочу в заключении сказать : езжайте и отдыхайте в Абхазию там просто супер.
      
      
",14 июля 2022
27,"
Абхазия стоит побывать!!! Были на экскурсии в Абхазии все понравилось, кроме долгого ожидания на границе. Хоть бы условия создали для столь долгого ожидания...Ездили на микроавтобусе за 1900 рублей. Нашим экскурсоводом был Леон.  Рассказывал очень интересно, повествовательно, много шутил. Все места экскурсии произвели впечатление: Гагра, озеро Рица, голубое озеро, церковь в старом Афоне и т.д. везде где мы останавливались можно было купить и сувениры и перекусить, навязчивости продавцов я не увидела.  Была дегустация вина. Мёда. Чая...Все отличного качества. Купили мясо очень вкусное . Мёд сказочный... С удовольствием съездила бы ещё!!! Отдельное спасибо водителю Вано,просто Шумахер.
      
      
",13 июля 2022
28,"
Отдых в Новом Афоне , Абхазия Отдыхали в Новом Афоне, очень классно. Были на экскурсии на озере Рица. Природа прекрасная, виды изумительные, водопады впечатляющие: Гегский,  Молочный и др. А какие ущелья?!, просто сказка. Во время поездки до места, вдоль трассы грохочут горные речки, кругом зелень, пышная и роскошная.                                     Абхазское застолье :- это что-то!!! Национальные песни и танцы, храм х века, застолье в селе Дурипш, шашлык на мангале, мамалыга, блюдо из фасоли, сыр, овощи,соленья, вино, чача  и соки. 
      
      
",13 июля 2022
29,"
Везде хорошо... Спасибо за отзывы, Туризм это бизнес, психология, ментальность, политика и всегда есть плюсы и минусы. Люди исчезают семьями, если не повезет. И наоборот есть такие кто много раз ездит.
      
      
",30 июня 2022
30,"
Запаситесь терпением и здоровьем Ездили в Абхазию с уличным агенством Дубровка. Да природа действительно прекрасна и на этом все! Очень выматывающая эксурсия людям с проблемами со здровьем и с маленькими детьми лучши не ехать укачивает и тошнит. Бесконечные горные серпантины. Очень много времени занимают беспонтовые места где нечего смотреть типа водопадов мужских и девечьих слез, новый Афон тоже бред, поиехать в убитый храм и час бродить по тереторию, я на эскурсию не молится езжу. Гид Линда монотонным голосом вешала заученый текст от которого все засыпали, на просьбу уставщего народа отвезти нас на таможню и больше не мучить отказали, сказали нас там никто не встретит
      
      
",22 июня 2022
31,"
Интересно.. Собираюсь..посмотрю на дикарей)
      
      
",22 мая 2022
32,"
Анакопия Ну что сказать, - « без лоха и жизнь плоха 🤣🤣🤣». Частичка правды есть, но не в таком контексте . Если ты лох- это судьба👍🏻. В Абхазия нужно ехать с людьми , которых ты знаешь или самому на машине. А так…. Конечно Вас будут разводить, а Вы вестись. Повесил конечно автор ))). Полуразрушенная   , но в то же время очень колоритная республика , Море чистое везде, с Сочи точно не сравнить . В Абхазия есть только природа, так что откуда там в море грязь будет. Города которые ближе всего расположены к границе, конечно там ничего красивого  и чистого не будет, т к толпы лохов/туристов😀. 
      
      
",14 мая 2022
33,"
Опасайтесь гопарей с белыми овечьими шкурами в местах массового скопления людей! И обязательно прячьте телефон! Двое подходят сзади, выхватывают телефон и держат руки, а третий накидывает шкуру и начинает фотографировать вас на ваш же телефон и тут же говорит скока с вас тысяч рублей. Если жертва говорит ""я не буду платить"", тут же появляется парочка откормленных ментов, и постукивая дубинками спрашивают - какие то проблемы? Я просто реально был без телефона, надо было видеть рожи шмонающих меня гопарей, как так, нет телефона, даже своим ментам нечего предъявить, фотографий то в шкуре нету!
      
      
",12 мая 2022
34,"
Всем рекомендую 👌 Отдыхали в Новом Афоне с конца сентября по начало октябряБархатный сезон, Погода стояла ещё жаркая, море тёплое, но где-то неподалёку впадают холодные речушки, что чувствовалось. Ооооочень понравилось, обещали себе вернуться ещё раз. Много достопримечательностей и зелени. Туристов в это время было не много. Есть много всяких экскурсий. Местные доброжелательные, всегда на лайте, живут спокойной, размеренной жизнью 👌
      
      
",02 мая 2022
35,"
Трансфер по Абхазски. Не совсем трансфер. 5 сентября заказали трансфер из Пицунды в Адлер до вокзала. Отдали по 700 рублей. Довезли до Псоу(пешеходный переход), а дальше пешком. Местный сталкер взял у одной женщины чемодан, остальные тащили все с собой. Народу много, но работали все пункты пропуска. Минут через 40 мы в России. На Российской стороне был микрик, правда стоял он гораздо дальше конечной. Вещи на себе.  С России въезд выглядит точно так же. Чемоданы с собой! Если есть возможность, нужно рассматривать переезд Адлер-Гагра на поезде. Цена даже несколько ниже, из поезда не выходить. Ехали из Адлера в Гагры на машине, встречал родственник. На Российской стороне пассажиры выходят, вещи в машине. На Абхазской только паспорт показать. Это гораздо лучше но в сезон переезд на машине может занять и 2-3 часа.
      
      
",06 сентября 2021
36,"
Отпуск в Абхазии удался несмотря ни на что! счёт  высадил эвкалипты и туи - которые осушили местные болота, затем завёз и рассадил: мандарины, оливки, виноград, чай, инжир, табак, и другие культуры; пляжи ОП Курорта Пицунда рукотворные.  После войны 1992-1993 года Абхазия 10 лет была в блокаде, и только благодаря России сегодня в Абхазии Мир и возможность торговать. Валюта Абхазии Апса́рс - в соответствии с  законом  монеты и банкноты являются платёжным средством на всей территории
      
      
",27 августа 2021
37,"
Отварительно Отдыхали в г.Сухум с 11.08.2021 по 18.08.2021. Проживали на Чехова , дом 36, квартира на втором этаже. Ежедневно отключали свет.  Воды не было от слова совсем. Нас было 8 человек и ежедневно мы дежурили у крана, чтобы набрать в 5-литровые бутылки хоть сколько то воды. Звонили хозяйке Аиде по поводу воды, движений ноль. Пришлось съехать раньше на сутки, потому что жить без воды на отдыхе - это трудно, ни нормально в туалет сходить, ни еды приготовить. Отдавать деньги за последние непрожитые сутки Аида отказалась. Денег нет, воды нет -все аргументы. Отдых был испорчен. Это было выживание, а не отдых.

",18 августа 2021
38,"
В Абхазии нам не понравилось! Мы были в Абхазии - Гагра с 1 авг. по 8 авг.2021. Больше никогда в жизни мы туда не поедим. Сервис в кафе ужасный, все грязно, мусорных вёдер нет по городу, все ходят в аптеку с одинаковыми симптомами: тошнота, диарея и температура. Машины для экскурсий древние и плохо выглядят. Абхазцы лишнего движения не сделают сами. Вообще не приветливый народ!!! Всё делают на "" отвали"". Всё, что показывают блогеры в видео - ложь!Своих фруктов и овощей нет у них - домашних. Вина заводские или у тётечки какой-то  набуторенные. Еда вся наружу, туда мухи, пыль и всё, что угодно садится. И не особо вкусная. Сыры солённые очень. Даже сабли и кинжалы made in China!!!! Понравилась только природа, море и территория нашего отеля. 

",10 августа 2021
39,"
Абхазия, природа отлично, некоторые хозяева не стоят нашего внимания и денег. Доброе утро, мы отдыхали в п. Лдзаа ул.политрука Назадзе 13, (Алт Лава В.А.) не рекомендую это место, мы оплатили за 6 суток, на 5 сутки хозяйка по имени Ванда (скандалистка) нам сказала что пора съежать, деньги не вернули, угрожали расправой,  ничего не докажешь! Про печальные условия и т.д. вообще говорить не хочу! 
      
      
",08 августа 2021
40,"
""Душевная ""Абхазия Только что вернулисьиз Абхазии,(,,стране души"") Отдыхали в Пицунде.Природа и море действительно чудесны.Еда в кафе и ресторанах недорогая и вкусная. Это про плюсы,а вот с душой, что то не поняли,такого хамского отношения к туристам  даже представить себе не могли в кошмарном сне,за 5 минутное опаздание в автобус при посещении экскурсии,выслушали столько брани и ругани от так называемого ,,экскурсовода"",что об этом только в сюжет программы ,,ты не поверишь ""  Вообщем,очень ,, душевно"" на нас оторвался . После его ора и безпридела тряслись руки и пришлось принимать успокоительное, а  замдиректора  Пицундского экскурсионного бюро,куда мы обратились,пообещал разобраться самым тщательным образом,взять этот инцидент под личный контроль, был пару дней на паузе,а потом пригласил посидеть в уютном ресторанчике и обсудить что да как  😔🤗 Про маршрутки вообще отдельная история,тоже все очень ,, душевно"",на рынке ,если не купил их товар ,ну просто море теплоты и душевности
      
      
",21 июля 2021
41,"
Были мы на нескольких экскурсиях, хуже я не мог представить отдыха. Дигустация якобы хорошего(в ковычках) абхазского вина с какой то барматухой и липового(в ковычках) меда вообще добивает, впихивая всю эту хрень всем туристам чуть ли не силой, а если не покупают то в сильной обиде. 
      
      
",11 июля 2021
42,"
Отличный отдых в Сухум!!! Мы в Сухум в 2019 году отдыхали!! 2 недели.. Не сравнишь, с Турцией..нам понравился Сухум!! Народу на пляже мало, чистое море, цены такие низкие, мы Оболдевали

",27 июня 2021
43,"
В данный момент отдыхаем в Абхазии, Гудаута. Прекрасный отель с добрыми людьми, адекватные цены, в местных магазинчиках цены - мы были приятно удивлены. Есть столовые с хорошим меню и отличными ценами - обед на семью из 5 человек на 1500 рублей . Также были в ресторане Веранда - вкусно, красиво - мы любители Кавказской кухни, плавали-знаем… сегодня собираемся с детьми в одну из высотных заброшек  - любим приключения. В общем, хотите Все включено - езжайте в Турцию и будьте счастливы. Хотите самостоятельных приключений, немноголюдности - можно приехать сюда. И, кстати, здесь никто не смотрит на вас, как на денежный мешок. А в Сочи достали все эти голубятники, обезьянники, которые только и норовят посадить свою зверушку на плечо моих детей… В общем, желаем всем хорошего отдыха!!! И в поездку - только с отличным настроением!
      
      
",27 июня 2021
