,mark,review_text,date
18,5,"
Очень много мусора Была подростком, когда родители привезли в Джубгу отдыхать и не помню, если честно, как всё выглядело. Но сейчас, приехав, уже со своей семьёй и с детьми, не очень понравилось, очень грязный пляж ,на рынке цены более или менее норм, но везде мусор и в самом селе тоже, покатались, посмотрели, везде полно мусора,окурков.Есть с чем сравнить конечно, 2 года назад были в Архипо-Осиповке,4 года назад были в Голубой бухте в Геленджике, там намного чище.
      
      
",21 сентября 2022
19,10,"
Обязательно посетить Большое спасибо хозяйке галлереи за  ее творчество и позитив! Получили море удовольствия и координально изменился взгляд  на жизнь! 
      
      
",21 сентября 2022
20,1,"
Гадюшник Это самое ужасное место для отдыха , все зас …. Полный кошмар , а ещё Крым обсе…. Там намного лучше, здесь первый и последний раз 
      
      
",20 сентября 2022
21,2,"
Грязно , помойка Грязно 
      
      
",18 сентября 2022
22,2,"
Не тратьте время и деньги Полный кал. Еда вообще ни какая цены как в Адлере. Контингент быдло.
      
      
",14 сентября 2022
23,3,"
Морской мясной бриз. Центральный пляж в Новороссийске очень людное место . Но после открытия кафе бывший Макдональдс новое Вкусно и точка воздух на пляже не возможно дышать. Пахнет не морем а горелыми котлетами и горелым маслом . Что говорит об отсутствии фильтров в кафе и оплаченной санстанции для открытия данного кафе.
      
      
",13 сентября 2022
24,2,"
Кошмары Это кошмар. Никакой периферии! Только имеритинка теперь. Блевали все гостевые дома. В море стекает речка вонючка. Узкие улицы, населенный пункт горный воздух вообще надо закрыть. Там они скорые ездят по отелям
      
      
",09 сентября 2022
25,4,"
Можно купаться где олимпийские обьекты- там прозрачное море. Хочу написать о  такси- здесь тройной тариф,цены зашкаливают. Была 4 раза на концерте в Сириус,выбраться оттуда невозможно. Подъезжают таксисты и называю цену- 3 000, или по 500 с человека. А ехать до курортного городка,сайт висит- идёт сброс вызова .Автобус 51 проезжает битком не останавливаясь даже. Проехало 4.Про питание. Не отравилась,но в кафе Малахит на ул. Просвещения,и рядом тоже кафе - все очень хорошо используют химические добавки- обострилось желудок и желчный. Шашлык на пляже( около кафе Барракуда) - отдельная песня,тоже хорошо удобрено консервантами.Вонь на улицах кургородка и видно как открытые трубы и прямо вонь течет в море. 

",07 сентября 2022
26,1,"
Отвратительно Отвратительный отпуск, хуже я ни где так не отдыхал за эти деньги! Местным армяшкам привет! Чтоб не разбавляли алкоголь, все таки мы люди а не скоты! 
      
      
",05 сентября 2022
27,10,"
Спасибо артистам Африканской Деревне. Нам удалось побывать в Африканской деревне в п. Сукко. От Анапы недалеко,  красивая природа. Самое интересное это конечно же шоу с танцами в красивых костюмах и песнями.  Мы принимали участие в конкурсах, вся программа пролетела очень быстро. Остались только  положительные эмоции, спасибо артистам.
      
      
",05 сентября 2022
28,2,"
Это ужасно Сентябрь 2022, заказали экскурсию на кипарисовое озеро , частный гид Николай, отопый раздает визитки и позиционирует себя  представителем ""Анапа Тревел тур, дайвинг"" продаёт свои услуги в Джемете, 1300р стоимость , показал фото комфортабельного лексуса с кондиционером, по факту : развалюха машина, без кондиционера, радиатор горел, каждый километр осьа6авливал, чтоб осьудить, это был ужас! Водитель Алексей, сказал, что подвергать опасности пассажиров - это здесь норма . Было не до красоты,  лишь бы живыми доехать до отеля.Обходите стороной мошенников и будьте здоровы. Не стоит покупать левые экскурсии у частных лиц.
      
      
",03 сентября 2022
29,4,"
Оплата лежаков инвалидами 2 группы На пляжах Анапы неизвестные лица требуют с инвалидов 2 группы их личные денежные средства за лежак. На вопрос - на основании каких законодательных документов это происходит , пока никто из администрации города Анапы и из сборщиков денег на пляжах города эти документы не предоставил . Очень хотелось бы заполучить эти законодательные акты . 
      
      
",30 августа 2022
30,1,"
Просто ужас и кошмар!!!!!! Категорически не советую, город грязный также как и пляжи, что галечный, что песочный. На машине проехать не реально. Поворотники не включают, все улицы заставлены машинами до середины. Остаётся одна полоса по середине. Куда смотрит мэр, везде грязь и на пляжах только платные лежаки и переодеться негде, только за деньги. Тина, вонь, грязь. Становится только хуже с каждым годом. Туристы хамы и не воспитанные. В гостевом доме ведут себя как барины. Никакого уважения к друг другу. Культура отсутствует вообще!!!! Всё дорого и не выгодно. Цены на продукты завышенные. Развлечения для детей, как в бутик сходить. Просто ужас, категорически не советую. Жара, влажность, грязное море и город, отвратительнее туристы и движение. 
      
      
",28 августа 2022
31,2,"
УЖАСНО ГРЯЗНОЕ МОРЕ Это самый ужасный отдых в нашей жизни! мы многодетная семья, и в этот год наугад поехали в адлер, просто потому, что самолетом добраться можно только в Сочи. Я даже предположить не могла, что в курортном месте может быть ТАК ужасно! В первую очередь, ГРЯЗНОЕ ВАНЮЧЕЕ (слово подобрано правильно) море! Это возмутительно! В самом Адлере стоит такой запашина канализацией!Это недопустимо! Прямо огромные трубы спущены в море, и видно как ЭТО все Г.... течет в море! БОлеют все! Мы уже на второй день слегли! Очень сильно! Скорую вызывали два раза! Пришлось даже платную(6 тыс. с человека!!!!!!!) т.к. бесплатная просто не справляется. Врач со скорой сказала , что за сутки поступает до 1000 вызовов, и все с диареей и рвотой! Грязь везде! Дома натыканы так близко,  я впервые такое вижу! НЕ РЕКОМЕНДУЮ!!!!!!!!!!!!!!!
      
      
",27 августа 2022
32,2,"
Слов нет, одни чувства! Это не курорт - это ад. Кто сюда полетит отговорю любого. Местные жители пояснили, что в море не купаются, что все канальи стекают в море. Дети заболели на 4ый день положили в больницу, пропустили  самолёт. Как мы хотели наконец от туда уехать, цены на пляже не обоснованно высокие, ребенка покусали комары. Пляж каменистый но камни очень большие, заходить не приятно, можно ноги переломать, а лежать на таких камнях как не приятно, в общем это наш последний отдых в этом распиаренном курорте Сочи. Цены на пляже космос. Хотели поправить здоровье, а получилось, что уехали инвалидами, ещё пол года восстановливаться после этого курорта. Единственное, что понравилось это Сочи Парк.
      
      
",24 августа 2022
33,2,"
Очень плохо, ожидали что здесь будет хорошо, но увы. Просидели дома с кишечной инфекции, отдых насморку. Магазинов нет почти только магнит, и то не понятный какой. Отсталый поселок от других  поселок.
      
      
",23 августа 2022
34,1,"
Не советую Море было не очень чистым, еда в столовых невкусная, и еще минусь-отсутствие набережной как таковой!!! Также нет ни парка и никакой природной зоны для отдыха, какждый сантиметр превращен в аттракцион или место продажи чего-либо.
      
      
",21 августа 2022
35,1,"
Если вы уважаете себя и не считаете себя быдлом, советую не ехать в эту свалку Очень разочарована. Очень очень грязный поселок, цены недешевые, продукты страшно покупать, везде мусор, урн не найдёшь, стыд и позор Администрации поселка, которые обязаны следить за чистотой, почему в Кабардинке или Архипо-Осиповке все чисто или там какие-то другие отдыхающие? Больше сюда никогда не поедем. Не посёлок, а одна сплошная свалка. За Набережную я вообще молчу, как там грязно. Я даже подумать не могла, что курортный поселок может быть настолько грязным, люди едут отдыхать, загорать, а не ходить по свалке, обходя окурки, прокладки и остальной мусор.В таких условиях не только ротовирус, но и холера может появиться. Если бы я раньше прочитала отзывы, но никогда бы сюда не приехала, теперь на всю жизнь буду вспоминать ""замечательный"" поселок Ольгинку. Море действительно очень красивое, теплое, чистое, а вот начиная от побережья - в некоторых местах Индия отдыхает... 
      
      
",20 августа 2022
36,10,"
Теплое мелкое несоленое и чистое море, песок. Сказка! Отлично! Сейчас тут. Приехали 20 августа. Море очень тёплое, как парное молоко, медуз очень мало, почти нет, вода не солёная, песочек, море мелкое, детям раздолье и безопасно. Рядом аквапарк, куча кафешек и столовых, живём в коттедже прямо на берегу, всё отлично! Самое лучшее море. С чёрным не сравнить. 
      
      
",20 августа 2022
37,1,"
Если хотите получить испорченый отдых то вам в Джубгу!Грязные пляжи,вплоть  до того что в море плавают прокладки,шприцы,мусор…Отсутсвие мусорок и бесплатных туалетов,отсутсвие освещения на улице Везде постоянная воньАквапарк это вообще отдельная история ,после его посещения выпали из жизни с отравлением температура 40,рвота и так далее,работники аквапарка дети,которым вообще как-то фиолетово на всех.Все что мы получили это испорченый отдых и потраченные деньги !

",20 августа 2022
38,2,"
Не понравилось Не понравилось. Тесно, грязно, людей очень много. Цены такие же, как в Адлере. Развлечений мало. Гулять тут не интересно. Смотреть не на что. 
      
      
",18 августа 2022
39,3,"
Приветливый берег Приехали с детьми семьей на ул. Луначарского санаторий Приветливый берег. Море очень грязное, мутное, плавает хлам, рвота. В санатории еда совсем не вкусная, плохо сваренная пища, все одинаковое, без отходное приготовление. В итоге понос и рвота у всей семьи. Дети с температурой три дня и пять дней болели и до отъезда не выздоровели не отдохнули. Потраченные деньги. Отдых испорчен. Не рекомендую от слова совсем!
      
      
",17 августа 2022
40,1,"
Ужасно Грязь, вонь. Хуже этого места я не видела, трасса проходит через посёлок от  этого постоянный шум. Не рекомендую
      
      
",16 августа 2022
41,7,"
Бюджетный отдых Всём здравствуйте. Хочу поделиться своими впечатлениями от отпуска в г. Ейск.  Начну с хорошего. Я не очень строго сужу отдых. Отдыхали мы на Николаевской улице. В гостевом доме. Уютный частный сектор. С пляжем. Рядом набережная и парки. Магазины и столовые - всё в шаговой доступности. Цены бюджетные. На жильё и питание. Вечером вполне есть куда сходить. Очень понравилось кафе у Улугбека. А так нахваливаемый баклажан не очень. Дорого и не вкусно. Из минусов - карусели кусаются. Цена 200-250 р. С учётом того.что они со времён СССР. Страшновато. В городе нет освещения и асфальта. Вечером приходилось подсвечивать себе дорогу.дабы не сломать ноги. Отдельная поэма морю)) море тёплое и мелкое. Камни и ракушечник. Запасайтесь специальной обувью. Для детей просто рай. 
      
      
",14 августа 2022
42,2,"
Ротовирус и антисанитария на курортах Сочи Этот отзыв для тех, кто думает ехать отдыхать на курорты Сочи! 100 раз подумайте! Особенно с детьми! Антисанитария на каждом углу! Канализация сливается в море! Очистных либо нет, либо не работают! Туалетов на пляжах нет, есть в кафе, но стоимость по 40 руб. Все испражняются в море! Ротовирус свирепствует! Много рыгающих. Одно купание в море и 5 дней в номере, с диарей, рвотой и температурой. Но об инфекции ни слова, все молчат. Ужасно! Больше сюда никогда не приедем! 
      
      
",14 августа 2022
43,10,"
Все хорошо , а на теплоход черная жемчужина не ходите Есть там теплоход черноморская жемчужина туда ни в коем случаи не ходите обман , обман еще раз обман сказали будет много чего и нечего не было , когда сказали что обманули , сказалали мы вас жестко наебали ! На причале стоит светлый пацан с микрофоном хам ! В остальном все хорошо 
      
      
",14 августа 2022
44,2,"
Днище и ад Из плюсов только то что красиво остальное одни минусы:Супер душно даже ночьюГород всё время в пробкахНет парковок при этом работает организованная группировка по эвакуации машин и вымогательству денег за штраф стоянку и эвакуируют даже из мест где нет знака что работает эвакуаторОбщепит дороже чем москва иди ПитерВ целом место не для отдыха а для стреса при этом достаточно от всего изолироаано
      
      
",14 августа 2022
45,3,"
Убогие пляжи, мусор и грязь Убогие пляжи, мусор, грязь и разруха.  
      
      
",13 августа 2022
46,1,"
Грязно Ужасное место, грязно, дорого.Нет урн, почти нет пешеходных переходов.Из плюсов только пляж, но и на том мусор. 
      
      
",11 августа 2022
47,5,"
Где же танцующие или хотя бы поющие фонтаны??? С семьёй находимся в Анапе уже неделю. Фонтаны назвать поющими или танцующими невозможно. Нет музыкального сопровождения. Это просто фонтаны, подсвеченные разноцветными лампами. В положенный для шоу час фонтан остаётся обычным, таким, как и в любое другое время.Жаль...
      
      
",11 августа 2022
48,1,"
Отключение воды каждый день, 2022 год, август Нет воды ни горячей ни холодной с 13 часов до 19 часов в многоквартирном доме на ул островского. Это не курорт, а смех и слезы....на улице сейчас 35 градусов, туалет смыть нечем. УК Прораб говорит, что так они экономят....
      
      
",10 августа 2022
49,1,"
Добрый день!В Адлере впервые,очень удивлена многочисленным положительным отзывам,может пригодится мой отзыв кому нибудь.Мне лично тут не понравилос,номер взяли у вокзала,близость к морю,но к морю добирать через вокзал ближе.слышимость самолётов и шум поездов от ЖД. Много мусора,грязи и это центр.Бомжи в переходе,вонь стоит на весь переход от них.Куда смотрит администрация города?Все платно и как то не обустроено.Движение,носятся как башенные,пешеходам не уступают.Больше точно не приеду.Вы уж думайте сами.
      
      
",10 августа 2022
50,2,"
Отдых в Джубге Отдых в Джубге сплошное разочарование 😞 сервис на нулевом уровне то есть его нет вообще,  цена за жилье не сопостовима   с его условиями  , еда везде однообразна  и постоянно стараются общитать ,детские развлекушки у побережья    тоже оставляют желать лучшего , цены на морские развлечения в течении дня могут меняться от чьего-то настроения . Архитектура города ужасная .Постройки большая часть- гостевые дома  большая их часть построена в стиле похрен как, зато номеров много . Из плюса за весь отдых был Аквапарк и там не обошлось без эксцесса при покупке мороженного со сливками продавец пытался высасать из баллона сливки ртом , но увидев,что за ним наблюдают понял , что в этот раз не получится . Сам городок очень грязный много мусора 🗑  везде в том числе и пляжи а кабинки для периодивания это нечто глядя на все это не понимашь что с людьми  происходит самоуважения ноль . 
      
      
",09 августа 2022
51,2,"
Лучше на Алтай Конченное место ,одна большая деревня ,транспорт нормально не ходит,отдыхаек как муравьев ,сервис говнище , понаставили красивых зданий вокруг села и думают что это курорт,дизлайк короче 
      
      
",09 августа 2022
52,1,"
В Джубгу не стоит ездить. Отдыхали всей семьёй в Геленджике и решили съездить в Джубгу на пляж, хуже зрелища ещё не видели. Побережье все в грязи,в воде плавают окурки,пластиковая посуда.Рядом парк он тоже находится в ужасном состоянии,туалет платный между прочим самый дорогой 50 руб. он тоже в плачевным состоянии . Дорогие отдыхающие, прежде чем туда ехать подумайте 100 раз. Не могу только одного понять, куда смотрят местные власти и санэпидемстанция. Отдыхайте комфортно, всё-таки за отдых мы платим свои деньги.
      
      
",08 августа 2022
53,1,"
Невозможно жить от реверберации монотонного звука который сделает вам головную боль тошноту и рвоту к утру Если хотите сохранить здоровье ни в коем случае не приезжайте в Анапу и уж точно не Живите в двенадцатом микрорайоне в той стороне где бульвар евскина и не стоит покупать квартиру в горгиппе власти города не будут думать о вас он здоровье по всему двенадцатому микрорайона раздаётся какой-то монотонный ревербициозный звук подозреваю от какого-то холодильного устройства Ну что-то электрическое монотонное работает всю ночь Утром вы встанете со страшной головной болью у вас будет рвать и вы будете думать что я так акклиматизация и отравились на самом деле видимо власти города так решили понизировать понизить рождаемость Ну или ну или в союзе с 300 борются с перенаселением планеты жить в этом районе невозможно у людей давление утренняя рвота головная боль и вибрирует стальные пластины фасада которыми он отделан. Бесполезно писать властям в МВД в прокуратуре это нарушение прав людей их здоровье но власти города бесполезно об этом говорить
      
      
",08 августа 2022
54,2,"
Отравили в кафе Аллея Не вернусь сюда.(((В кафе «Аллея» меня отравили!!!Мы поужинали там семьёй, ели всё одинаковое, а коктейли были разные. Мой коктейль был Пинаколада. В итоге в ночь у меня рвота, понос, температура. Сутки температура 38 и все остальные симптомы, думала уже скорую вызывать, но лекарства помогли и долечивалась сама. Море чистое нашли только в одном месте на пляже. Лежак 300₽. Народу много, а полоса пляжа маленькая. Очень маленький городок и такое количество людей явно не вмещает. Ходить по тротуарам не удобно, узкие слишком.Из хорошего отмечу отель где мы жили «Лев»! Прекрасные условия и сервис!

",06 августа 2022
55,2,"
Испорченный отпуск Отдыхали в Геленджике с 27.07-07.08.2022. Город понравился очень , но хотелось бы очень оставить отзыв о хозяйке, которая нам сдала по ее рассказам изначально «дом в наше распоряжение» этот дом находится по адресу : Степная 32, сдают его ещё по адресу : Толстого 63, это совсем рядом , так вот , если вы услышите этот адрес - бегите оттуда сломя голову . Хозяйка испортила весь отпуск свои  навязчивым присутствием , постоянно лезет с нравоучениями и советами , то ей воду поздно включили , то рано пришли , последней каплей было отключение роутера от сети , и рекомендацией принимать душ раньше . Хозяйку зовут Марина , люди , бегите оттуда и не возвращайтесь , отпуск испорчен 
      
      
",06 августа 2022
